Name,IE_CP
01_03_cam.out,0.0017733535201216455
01_04_cam.out,9.345347265821147e-05
01_05_cam.out,0.0024783900631177858
01_06_cam.out,0.008489897163372007
01_07_cam.out,0.006611738259408639
01_08_cam.out,-0.011147893640526263
01_09_cam.out,-0.00559266330546393
01_10_cam.out,0.0012329354636619883
01_11_cam.out,-0.001246441156382616
01_12_cam.out,-0.026298647186621338
01_13_cam.out,-0.026410318800088817
01_14_cam.out,0.010524041946865736
01_15_cam.out,0.0034410364601740184
01_17_cam.out,-0.003569119190871106
01_18_cam.out,-0.031725647273617597
01_19_cam.out,0.004307515432515174
01_20_cam.out,-0.02576353823849331
01_21_cam.out,-0.006794371645753472
01_22_cam.out,-0.010145115065057553
01_23_cam.out,0.0031702009856928726
01_24_cam.out,-0.0035724042960509905
01_25_cam.out,0.010203490492642686
01_26_cam.out,-0.0009222436909794851
01_27_cam.out,-0.017512121105951906
01_28_cam.out,0.0026891375280939656
01_29_cam.out,-0.07914426202557934
01_30_cam.out,-0.09352202171749013
01_31_cam.out,0.003955984226863052
01_32_cam.out,0.054354253430204835
01_33_cam.out,0.03789067645556088
02_03_cam.out,-0.021313742139255965
02_04_cam.out,-0.012763737777220285
02_05_cam.out,-0.009273679927474632
02_06_cam.out,-0.0022820703512138607
02_07_cam.out,-0.004800070268231593
02_08_cam.out,-0.02081414908408874
02_09_cam.out,-0.013621376055823475
02_10_cam.out,-0.008575141558054611
02_11_cam.out,-0.01269133985016424
02_12_cam.out,-0.03676941029502245
02_13_cam.out,-0.0369039177031425
02_14_cam.out,-0.0007878030710060102
02_15_cam.out,-0.0076734546619832145
02_16_cam.out,0.18857344440525026
02_18_cam.out,-0.05777996449285183
02_19_cam.out,-0.007263492989523002
02_20_cam.out,-0.04092080026242684
02_21_cam.out,-0.018067363594923336
02_22_cam.out,-0.022201152359400567
02_23_cam.out,-0.007738785725308617
02_24_cam.out,-0.015177443701134052
02_25_cam.out,-0.0011694026092072818
02_26_cam.out,-0.01191505246956126
02_27_cam.out,-0.028275168099284542
02_28_cam.out,-0.008338800221011411
02_29_cam.out,-0.08842905647111365
02_30_cam.out,-0.10137928134020058
02_31_cam.out,-0.007031985406513286
02_32_cam.out,0.03837555445198859
02_33_cam.out,0.03665715178959772
03_05_cam.out,-0.006330824796350498
03_06_cam.out,-0.0010344166959725953
03_07_cam.out,-0.002326071293595078
03_08_cam.out,-0.018106664805003447
03_09_cam.out,-0.011608673369352118
03_10_cam.out,-0.00678064900094455
03_11_cam.out,-0.010316198439142
03_12_cam.out,-0.034319100860329854
03_13_cam.out,-0.03452061279878649
03_14_cam.out,0.0013564891915223143
03_15_cam.out,-0.00550432510286214
03_16_cam.out,-0.002537391429029867
03_17_cam.out,-0.01092675026939105
03_19_cam.out,-0.005236407887053929
03_20_cam.out,-0.034889422122773794
03_21_cam.out,-0.015983216475206063
03_22_cam.out,-0.019820481009389823
03_23_cam.out,-0.005561039739404805
03_24_cam.out,-0.013355741692805623
03_25_cam.out,0.000800263733481188
03_26_cam.out,-0.009686136130369505
03_27_cam.out,-0.026113524396635057
03_28_cam.out,-0.006238614831374889
03_29_cam.out,-0.08349143381633439
03_30_cam.out,-0.09706427071870394
03_31_cam.out,-0.0049442796020287005
03_32_cam.out,0.0378347155260883
03_33_cam.out,0.025281833982205626
04_05_cam.out,-0.01912453325530805
04_06_cam.out,-0.00195078709660379
04_07_cam.out,-0.00410056672888004
04_08_cam.out,-0.019657489208270817
04_09_cam.out,-0.013271263967595814
04_10_cam.out,-0.008280017318440969
04_11_cam.out,-0.011866945807440743
04_12_cam.out,-0.0359699477870663
04_13_cam.out,-0.03619806260752512
04_14_cam.out,-0.00016882756446534586
04_15_cam.out,-0.007021647163412581
04_16_cam.out,-0.004725030363431415
04_17_cam.out,-0.012567443723838778
04_18_cam.out,0.1673097133885335
04_20_cam.out,-0.045031619601388684
04_21_cam.out,-0.017705815949284442
04_22_cam.out,-0.021097099350640747
04_23_cam.out,-0.0071040755214824
04_24_cam.out,-0.014694547383783174
04_25_cam.out,-0.0006138826186656843
04_26_cam.out,-0.011412945683872522
04_27_cam.out,-0.02758520901106465
04_28_cam.out,-0.007730052115618946
04_29_cam.out,-0.08672061579375168
04_30_cam.out,-0.10017277311686712
04_31_cam.out,-0.006427015562550764
04_32_cam.out,0.03864256116168008
04_33_cam.out,0.035803272914279205
05_07_cam.out,-0.0011668439890399895
05_08_cam.out,-0.017188215221636938
05_09_cam.out,-0.01081275006379201
05_10_cam.out,-0.005903729232841215
05_11_cam.out,-0.00937233203831056
05_12_cam.out,-0.03350329885614656
05_13_cam.out,-0.03372508469365698
05_14_cam.out,0.0023070669395224286
05_15_cam.out,-0.004574907030303166
05_16_cam.out,-0.002127159572637538
05_17_cam.out,-0.009651063789590353
05_18_cam.out,-0.040577555285892686
05_19_cam.out,-0.0038051715621065796
05_21_cam.out,-0.014966557324385121
05_22_cam.out,-0.01875719596174008
05_23_cam.out,-0.004653244598728179
05_24_cam.out,-0.012343877828470795
05_25_cam.out,0.001784887712346972
05_26_cam.out,-0.008831299078934762
05_27_cam.out,-0.025204769026515805
05_28_cam.out,-0.005308106888776365
05_29_cam.out,-0.08300775710307562
05_30_cam.out,-0.09677627950253509
05_31_cam.out,-0.004010827725153376
05_32_cam.out,0.03987861514480073
05_33_cam.out,0.026882528956946317
06_07_cam.out,0.0035908960060169193
06_08_cam.out,-0.011613982327304484
06_09_cam.out,-0.0050728720806887395
06_10_cam.out,-0.00013212376319415853
06_11_cam.out,-0.0034702769928856014
06_12_cam.out,-0.028151572034545325
06_13_cam.out,-0.028186741126575043
06_14_cam.out,0.008326347858087502
06_15_cam.out,0.0013424353611526385
06_16_cam.out,0.0034330862930005424
06_17_cam.out,-0.0037921000019878193
06_18_cam.out,-0.03634782001915937
06_19_cam.out,0.0019481534755811936
06_21_cam.out,-0.010160129322116518
06_22_cam.out,-0.012965771736617171
06_23_cam.out,0.0012364971545366643
06_24_cam.out,-0.006053733182625365
06_25_cam.out,0.007909142742335007
06_26_cam.out,-0.002868453950526373
06_27_cam.out,-0.019584925518614682
06_28_cam.out,0.000587650822282626
06_29_cam.out,-0.07964089847428113
06_30_cam.out,-0.09318977736859324
06_31_cam.out,0.0018925236677631574
06_32_cam.out,0.048990922336173526
06_33_cam.out,0.034657804770404255
07_08_cam.out,-0.01329109466652767
07_09_cam.out,-0.006705003700290035
07_10_cam.out,-0.0018232973186513846
07_11_cam.out,-0.005537547810376964
07_12_cam.out,-0.029513041296127085
07_13_cam.out,-0.03001647563880283
07_14_cam.out,0.004954842924121294
07_15_cam.out,-0.0006111586942836311
07_16_cam.out,0.0019277483629025483
07_17_cam.out,-0.005602350163940173
07_18_cam.out,-0.036203935370451745
07_19_cam.out,5.815080149318419e-05
07_20_cam.out,-0.028551942794649676
07_22_cam.out,-0.01474209267672677
07_23_cam.out,-0.0005949572824306415
07_24_cam.out,-0.00805619171745775
07_25_cam.out,0.0058955582441626575
07_26_cam.out,-0.006522211724359295
07_27_cam.out,-0.02149654562724379
07_28_cam.out,-0.0012592368621540118
07_29_cam.out,-0.08446013408718045
07_30_cam.out,-0.09511000860123886
07_31_cam.out,6.150941796079223e-05
07_32_cam.out,0.04573218447251293
07_33_cam.out,0.03448701120652231
08_10_cam.out,-0.02765295015055358
08_11_cam.out,-0.022011681205299283
08_12_cam.out,-0.04417770343314942
08_13_cam.out,-0.04456242801259691
08_14_cam.out,-0.009724244057878195
08_15_cam.out,-0.016031219011722442
08_16_cam.out,-0.013675917571362106
08_17_cam.out,-0.022371829002537424
