Name,IE,Walltime
adanine-thymine2_cam-b3lyp-d3.out,-3.3267261169721116e-05,236980.42
ammonia-trimer_cam-b3lyp-d3.out,-0.0018995024693211154,3208.16
benzene-HCN2_cam-b3lyp-d3.out,-0.0015980997097258963,16692.81
benzene-T_cam-b3lyp-d3.out,0.00016988320330836655,73885.98
benzene-ammonia2_cam-b3lyp-d3.out,5.678976681274901e-05,15906.25
benzene-methane2_cam-b3lyp-d3.out,1.712880642549801e-05,19707.69
benzene-sandwich_cam-b3lyp-d3.out,6.98153894932271e-05,92499.7
benzene-water2_cam-b3lyp-d3.out,0.0002772394972175299,14894.03
benzene2-HCN_cam-b3lyp-d3.out,-3.55328848749004e-05,30868.68
benzene2-ammonia_cam-b3lyp-d3.out,0.00025390311679043825,48236.35
benzene2-methane_cam-b3lyp-d3.out,-7.960742541832669e-05,40570.74
benzene2-water_cam-b3lyp-d3.out,0.000246848317949004,46848.84
ethene-ethyne2_cam-b3lyp-d3.out,0.00016660218878406375,4891.37
ethene-trimer_cam-b3lyp-d3.out,-8.253308809561753e-06,10797.66
ethene2-ethyne_cam-b3lyp-d3.out,0.0001079617621131474,7025.04
formamide-trimer_cam-b3lyp-d3.out,-0.0022844588303745023,12546.36
formicacid-trimer_cam-b3lyp-d3.out,0.00020643127194581675,10825.51
indole-benzene2-S_cam-b3lyp-d3.out,-0.0010179517752621514,159021.5
indole-benzene2-T_cam-b3lyp-d3.out,0.0002334061663250996,162557.57
methane-trimer_cam-b3lyp-d3.out,8.885701321115538e-06,5560.35
phenol-trimer_cam-b3lyp-d3.out,-0.0034479435852573705,128476.17
pyrazine-trimer_cam-b3lyp-d3.out,4.385284836653387e-06,84472.96
pyrodixine-aminopyridine2_cam-b3lyp-d3.out,0.00012664603086533864,144804.31
pyrodixine2-aminopyridine_cam-b3lyp-d3.out,0.00038891145934501995,145423.11
uracil-trimer_cam-b3lyp-d3.out,-0.0001377238729115538,92536.1
