Name,Spin_rat,CorrIE_OS,CorrIE_SS,CorrIE_SRS,IE_HF,IE_SRSMP2
01_03,1.2517665986656583,-0.0040243145992097905,0,-0.0040243145992097905,0.0058521006901628425,0.001827786090953052
01_04,1.2051505803149818,-0.004667606671320583,0,-0.004667606671320583,0.005027070587175331,0.0003594639158547479
01_05,1.3305361297694496,-0.0032348318564181964,0,-0.0032348318564181964,0.0054591319039900554,0.002224300047571859
01_06,1.4854152669037994,-0.004896363748621919,0,-0.004896363748621919,0.012499476567199963,0.007603112818578044
01_07,1.4336528767833288,-0.004355513669277116,0,-0.004355513669277116,0.010299720118837286,0.00594420644956017
01_08,1.039743454163603,-0.008140414854096306,0,-0.008140414854096306,3.37574581408262e-05,-0.00810665739595548
01_09,0.8393201412884088,-0.002225270061274951,-0.0045794781973854375,-0.0068047482586603885,0.003978484547360495,-0.002826263711299894
01_10,1.060035772806122,-0.0022952580682552124,0,-0.0022952580682552124,0.0038769688769662025,0.0015817108087109902
01_11,1.1896558215397837,-0.005852393413480317,0,-0.005852393413480317,0.005622947426900282,-0.00022944598658003468
01_12,0.7145748776725037,-0.0017727202447939572,-0.004285025163339376,-0.006057745408133333,-0.017671915857590648,-0.023729661265723984
01_13,0.6529844036691902,-0.001127613626858135,-0.0029827607728895597,-0.004110374399747695,-0.020422958293693227,-0.02453333269344092
01_14,1.4008664971657023,-0.003913873771970806,0,-0.003913873771970806,0.013935578348309718,0.010021704576338913
01_15,1.382811940644724,-0.003579466165174949,0,-0.003579466165174949,0.006625643850838969,0.00304617768566402
01_17,1.102526095602288,-0.011352143250614713,0,-0.011352143250614713,0.009456939447773038,-0.001895203802841675
01_18,1.2102101492847241,-0.007184062151325125,0,-0.007184062151325125,-0.02340689088464387,-0.030590953035968996
01_19,1.1869140243353646,-0.0073891115382640074,0,-0.0073891115382640074,0.012410949283548689,0.0050218377452846815
01_20,1.368456170447335,-0.0036740359875150337,0,-0.0036740359875150337,-0.022427779715144425,-0.02610181570265946
01_21,1.0717438396531098,-0.0243227435115498,0,-0.0243227435115498,0.01840738113810403,-0.005915362373445771
01_22,0.8932341806511245,-0.0035186522057192105,-0.006804119371323754,-0.010322771577042963,0.003501825442754125,-0.006820946134288839
01_23,1.3267897989527035,-0.0038624887534338213,0,-0.0038624887534338213,0.0066921977220317785,0.0028297089685979573
01_24,0.7983787408602608,-0.0028148105768493314,-0.0060897733030715094,-0.008904583879920842,0.007854754265053998,-0.0010498296148668427
01_25,1.0331698515042862,-0.008908551654165911,0,-0.008908551654165911,0.02154218727582702,0.012633635621661107
01_26,1.16601350041097,-0.006490441371159714,0,-0.006490441371159714,0.006574597913868274,8.415654270856054e-05
01_27,0.7167091130383227,-0.001699611585347738,-0.004096072848694109,-0.0057956844340418465,-0.009258155065481333,-0.01505383949952318
01_28,1.2247611181722644,-0.0056058498093576326,0,-0.0056058498093576326,0.009019055738235693,0.0034132059288780603
01_29,1.3506495694620846,-0.00569295630452864,0,-0.00569295630452864,-0.07387537312024506,-0.0795683294247737
01_30,1.0431721978629795,-0.012710933623736542,0,-0.012710933623736542,-0.07682008599408618,-0.08953101961782273
01_31,1.3198050835763155,-0.0040932566953460385,0,-0.0040932566953460385,0.008131401532637028,0.00403814483729099
01_32,0.8382938023709705,-0.0030137194713895,-0.006209655178004363,-0.009223374649393863,0.06585607337024157,0.05663269872084772
01_33,1.2424557091178952,-0.0034405141477407406,0,-0.0034405141477407406,0.04133552433540899,0.03789501018766825
02_03,0.7370966064715966,-0.002262642087159765,-0.00530215433691744,-0.007564796424077205,-0.01102700146702773,-0.018591797891104933
